Game Name,Game Link,Developer Name,Publisher Name,Game Genre,Platform,Style Genre,Release Date,Price,Rating,Positive Review,Review
Company of Heroes: Tales of Valor,https://store.steampowered.com/app/20540/Company_of_Heroes_Tales_of_Valor/?snr=1_7_7_240_150_6,Relic Entertainment,Relic Entertainment,"Strategy,RTS,World War II,Military,Multiplayer,Base Building,Singleplayer,Action,War,Tactical,Historical,Co-op",win,,"8 Apr, 2009",189₴,9,0.92,1406
Overlord™: Raising Hell,https://store.steampowered.com/app/12710/Overlord_Raising_Hell/?snr=1_7_7_240_150_4,Triumph Studios,Triumph Studios,"RPG,Action,Villain Protagonist,Dark Fantasy,Third Person,Fantasy,Singleplayer,Adventure,Comedy,Funny,Strategy,Dark Humor,Action RPG,Puzzle,Action-Adventure,RTS,Atmospheric,Story Rich,Hack and Slash,Open World",win,Third Person,"15 Feb, 2008",484₴,9,0.92,1384
ICBM,https://store.steampowered.com/app/1178220/ICBM/?snr=1_7_7_240_150_2,"SoftWarWare, K-Project","SoftWarWare, K-Project","RTS,Cold War,Military,Destruction,Real Time Tactics,Strategy,Outbreak Sim,PvP,War,Submarine,Tactical,Artificial Intelligence,Moddable,Time Manipulation,Base Building,Naval Combat,Minimalist,Flight,Political,Naval",win,Minimalist,"17 Nov, 2020",279₴,9,0.92,1162
Frostpunk,https://store.steampowered.com/app/323190/Frostpunk/?snr=1_7_7_240_150_1,11 bit studios,11 bit studios,"City Builder,Survival,Resource Management,Strategy,Post-apocalyptic,Steampunk,Colony Sim,Building,Base Building,Simulation,Singleplayer,Management,Choices Matter,Atmospheric,Economy,Dark,Difficult,RTS,Real-Time with Pause,Great Soundtrack","music, mac, win",,"24 Apr, 2018",538₴,9,0.91,74995
Minion Masters,https://store.steampowered.com/app/489520/Minion_Masters/?snr=1_7_7_240_150_1,BetaDwarf,BetaDwarf,"Real Time Tactics,RTS,Multiplayer,Co-op,Card Battler,Free to Play,Strategy RPG,Card Game,Strategy,PvP,PvE,Deckbuilding,Tactical,Competitive,Online Co-Op,Singleplayer,Turn-Based Tactics,Mouse only,Tower Defense,Stylized","mac, win",Stylized,"24 May, 2019",1 492₴,9,0.91,60675
Men of War: Assault Squad 2,https://store.steampowered.com/app/244450/Men_of_War_Assault_Squad_2/?snr=1_7_7_240_150_1,Digitalmindsoft,Digitalmindsoft,"Strategy,World War II,War,Simulation,RTS,Action,Tactical,Military,Multiplayer,Real Time Tactics,Realistic,Tanks,Historical,Co-op,Singleplayer,Destruction,Atmospheric,Difficult,Classic,Adventure",win,Realistic,"15 May, 2014",2 620₴,9,0.91,29460
Tropico 4,https://store.steampowered.com/app/57690/Tropico_4/?snr=1_7_7_240_150_6,Haemimont Games,Haemimont Games,"City Builder,Simulation,Strategy,Management,Comedy,Sandbox,Singleplayer,Great Soundtrack,Economy,Real-Time with Pause,Politics,Building,Resource Management,Political,Funny,Cold War,RTS,Atmospheric,God Game,Capitalism","music, win",,"1 Sep, 2011",4 800₴,9,0.91,7642
Halo Wars: Definitive Edition,https://store.steampowered.com/app/459220/Halo_Wars_Definitive_Edition/?snr=1_7_7_240_150_1,"Ensemble Studios, Behaviour Interactive, 343 Industries","Ensemble Studios, Behaviour Interactive, 343 Industries","Strategy,RTS,Base Building,Multiplayer,Sci-fi,Singleplayer,War,Action,Military,Co-op,Great Soundtrack,Simulation,Aliens,Tactical,Classic,Sandbox,Online Co-Op,Story Rich,Shooter,Atmospheric",win,,"20 Apr, 2017",505₴,9,0.91,6241
Colony Survival,https://store.steampowered.com/app/366090/Colony_Survival/?snr=1_7_7_240_150_2,Pipliz,Pipliz,"Colony Sim,Survival,Base Building,Building,Multiplayer,Strategy,Sandbox,Open World,Early Access,Adventure,City Builder,Crafting,Zombies,Management,Co-op,Action,Indie,Singleplayer,Voxel,RTS","linux, mac, win",Voxel,"16 Jun, 2017",415₴,9,0.91,6143
Element TD 2 - Tower Defense,https://store.steampowered.com/app/1018830/Element_TD_2__Tower_Defense/?snr=1_7_7_240_150_2,Element Studios,Element Studios,"Tower Defense,Strategy,Real Time Tactics,Multiplayer,Co-op,Replay Value,PvE,PvP,Competitive,RTS,Character Customization,Team-Based,Singleplayer,Fantasy,Magic,Tactical,Score Attack,Building,Online Co-Op,3D",win,3D,"2 Apr, 2021",44₴,9,0.91,2037
Crusader Kings II,https://store.steampowered.com/app/203770/Crusader_Kings_II/?snr=1_7_7_240_150_1,Paradox Development Studio,Paradox Development Studio,"Grand Strategy,Strategy,Medieval,Historical,Political Sim,Simulation,RPG,Sandbox,Multiplayer,Politics,Diplomacy,Singleplayer,Replay Value,Real-Time with Pause,Moddable,Political,Free to Play,Character Customization,RTS,Great Soundtrack","linux, mac, win",,"14 Feb, 2012",670₴,9,0.9,69105
Age of Empires® III (2007),https://store.steampowered.com/app/105450/Age_of_Empires_III_2007/?snr=1_7_7_240_150_2,Ensemble Studios,Ensemble Studios,"Strategy,RTS,Base Building,Multiplayer,Historical,Resource Management,City Builder,War,Simulation,Real-Time,Singleplayer,Military,Classic,Building,Open World,Co-op,Action,Online Co-Op,Real-Time with Pause,Adventure",win,,"15 Sep, 2009",568₴,9,0.9,26556
