Game Name,Game Link,Developer Name,Publisher Name,Game Genre,Platform,Style Genre,Release Date,Price,Rating,Positive Review,Review
Echo of Ayllu,https://store.steampowered.com/app/1670240/Echo_of_Ayllu/?snr=1_7_7_240_150_9,Gaiac Games,Gaiac Games,"Early Access,Trading Card Game,Turn-Based Tactics,Creature Collector,PvE,PvP,Tutorial,Card Game,Turn-Based Strategy,Strategy,RTS,Tabletop,2D,Cyberpunk,Post-apocalyptic,Turn-Based Combat,Deckbuilding,Sci-fi,Multiplayer,Singleplayer","linux, mac, win",2D,Oct 2021,Free To Play,7,74%,35
Oil Rush,https://store.steampowered.com/app/200390/Oil_Rush/?snr=1_7_7_240_150_9,Unigine Corp.,Unigine Corp.,"Strategy,Indie,RTS,Tower Defense,Dystopian,Naval,Singleplayer,Post-apocalyptic,Multiplayer","linux, mac, win",,"25 Jan, 2012",Free to Play,6,54%,450
Saturn Quest: R. U. N. E. 3000,https://store.steampowered.com/app/2170760/Saturn_Quest_R_U_N_E_3000/?snr=1_7_7_240_150_9,Arkhouse Telegraph,Arkhouse Telegraph,"Action,Adventure,Action-Adventure,Action RTS,Bullet Hell,Emotional,Atmospheric,Top-Down,Shoot 'Em Up,Aliens,RTS,Sci-fi,Space,Superhero,Surreal,Romance,Pixel Graphics,Retro,2D,Singleplayer",win,"Top-Down,Pixel Graphics,2D","28 Oct, 2022",119₴,6,69%,13
Of Ships & Scoundrels,https://store.steampowered.com/app/933830/Of_Ships__Scoundrels/?snr=1_7_7_240_150_9,Korion Interactive,Korion Interactive,"Action RTS,Real Time Tactics,Action,Pirates,Naval,Multiplayer,RTS,Crafting,Strategy,Procedural Generation,Indie,Early Access,Real-Time with Pause,Exploration,3D,3D Vision,Realistic,Top-Down,Sailing,Tactical",win,"3D,Realistic,Top-Down","14 Nov, 2019",229₴,6,66%,18
"TRIBAL ""The 12 Gates""",https://store.steampowered.com/app/1768810/TRIBAL_The_12_Gates/?snr=1_7_7_240_150_9,Tribal.Games,Tribal.Games,"RPG,Strategy,God Game,RTS,Strategy RPG,Action RTS,CRPG,Real Time Tactics,2D,Colorful,Cute,Building,Family Friendly,Fantasy,Logic,Magic,Management,Medieval,Survival,Tactical","mac, win","2D,Colorful,Cute","13 Apr, 2022",329₴,8,90%,10
The Billion Clicker,https://store.steampowered.com/app/2132070/The_Billion_Clicker/?snr=1_7_7_240_150_9,PaulArt,PaulArt,"Clicker,Idler,Puzzle,Turn-Based Tactics,Sandbox,Immersive Sim,Real Time Tactics,Logic,Management,Simulation,Old School,Relaxing,God Game,RTS,Time Management,Text-Based,Strategy,Minimalist,Choices Matter,2D",win,"Text-Based,Minimalist,2D","23 Sep, 2022",49₴,6,68%,25
Molten Armor,https://store.steampowered.com/app/693670/Molten_Armor/?snr=1_7_7_240_150_9,Brutal Muse,Brutal Muse,"Strategy,Tower Defense,Singleplayer,RTS,Action,Casual,Real Time Tactics,Wargame,Nonlinear,Sci-fi,Futuristic,Story Rich,Difficult,2D,Top-Down,War,Old School,Indie,Multiple Endings,Choices Matter","mac, win","2D,Top-Down","20 Oct, 2017",195₴,6,64%,51
dot TANKI,https://store.steampowered.com/app/2138960/dot_TANKI/?snr=1_7_7_240_150_9,Hede,Hede,"Early Access,Tactical RPG,MOBA,Tower Defense,PvP,RTS,Action RPG,Tanks,RPG,Building,Crafting,Strategy,Strategy RPG,3D,Action,Top-Down,Massively Multiplayer,Singleplayer,Multiplayer,Sports","linux, mac, win","3D,Top-Down","27 Oct, 2022",1 145₴,6,68%,16
TD Worlds,https://store.steampowered.com/app/1659180/TD_Worlds/?snr=1_7_7_240_150_9,MAKSIM VOLKAU,MAKSIM VOLKAU,"Tower Defense,Roguelite,RTS,Replay Value,Perma Death,2D,Isometric,Difficult,Roguelike,Dynamic Narration,Stylized,Real Time Tactics,Strategy,Minimalist,Abstract,Tactical,Atmospheric,Singleplayer,Sci-fi,Mystery","music, win","2D,Isometric,Stylized,Minimalist,Abstract","9 Jan, 2022",327₴,6,65%,23
Firmament Wars,https://store.steampowered.com/app/849790/Firmament_Wars/?snr=1_7_7_240_150_9,Neverworks Games,Neverworks Games,"Strategy,Indie,Real-Time,Multiplayer,RTS,Early Access,Tactical,Fast-Paced,Online Co-Op,2D,War,Political,Family Friendly,Team-Based,4X,Resource Management,Wargame",win,2D,"3 Sep, 2018",74₴,6,66%,39
Toy War - Cannon,https://store.steampowered.com/app/1834290/Toy_War__Cannon/?snr=1_7_7_240_150_9,Hede,Hede,"Side Scroller,Tactical RPG,3D Platformer,Racing,FPS,Sports,Wargame,Real Time Tactics,Auto Battler,Tower Defense,RPG,RTS,Strategy RPG,3D Fighter,Character Customization,Strategy,3D,First-Person,War,Physics","linux, mac, win","3D,First-Person","27 Apr, 2023",960₴,7,72%,11
Raptor Territory,https://store.steampowered.com/app/1513860/Raptor_Territory/?snr=1_7_7_240_150_9,RedClaw Productions,RedClaw Productions,"Dinosaurs,Team-Based,Early Access,Nature,Multiplayer,PvP,Action,Tabletop,Casual,Realistic,Exploration,Real Time Tactics,RTS,Action-Adventure,Strategy,Fighting,3D,Third Person,3D Vision,Tactical RPG",win,"Realistic,3D,Third Person","30 Nov, 2021",21₴,7,76%,34
Lornsword Winter Chronicle,https://store.steampowered.com/app/960900/Lornsword_Winter_Chronicle/?snr=1_7_7_240_150_9,Tower Five,Tower Five,"Action,Strategy,Local Co-Op,RTS,Real Time Tactics,Isometric,Story Rich,Tactical,Co-op,Singleplayer,Real-Time,Controller,Action RTS,3D,Fantasy,Indie,Casual,Nudity,Local Multiplayer,Multiplayer",win,"Isometric,3D","23 Oct, 2019",325₴,6,66%,24
Interstellaria,https://store.steampowered.com/app/280360/Interstellaria/?snr=1_7_7_240_150_9,Coldrice Games LLC,Coldrice Games LLC,"Space,Pixel Graphics,Exploration,Diplomacy,Sci-fi,Soundtrack,RTS,Management,Trading,Space Sim,Point & Click,Strategy,2D,Interactive Fiction,Funny,Conversation,Tactical,Colorful,Indie,Adventure","linux, mac, win","Pixel Graphics,2D,Colorful","17 Jul, 2015",169₴,6,53%,349
Tanks vs Aliens,https://store.steampowered.com/app/634200/Tanks_vs_Aliens/?snr=1_7_7_240_150_9,VR Features,VR Features,"Strategy,RTS,Great Soundtrack,Action,Singleplayer","mac, win",,"25 May, 2017",99₴,6,68%,16
Iron Conflict,https://store.steampowered.com/app/1371480/Iron_Conflict/?snr=1_7_7_240_150_9,Angela Game,Angela Game,"Early Access,Multiplayer,War,Tanks,MOBA,Military,Flight,Wargame,Action,Strategy,Realistic,Jet,PvP,World War II,3D,Grand Strategy,Real Time Tactics,RTS,Third Person,Historical",win,"Realistic,3D,Third Person","7 Jan, 2021",Free to Play,6,69%,1981
AOD: Art Of Defense,https://store.steampowered.com/app/1367760/AOD_Art_Of_Defense/?snr=1_7_7_240_150_9,Sateda,Sateda,"Tower Defense,Real Time Tactics,Wargame,PvE,RTS,Strategy,Building,Survival,Isometric,2D,2.5D,Post-apocalyptic,Tanks,Gun Customization,Nonlinear,Multiple Endings,Military,Lovecraftian,Logic,Moddable","linux, mac, win","Isometric,2D,2.5D","1 Dec, 2020",Free To Play,7,78%,270
Veil of Crows,https://store.steampowered.com/app/601540/Veil_of_Crows/?snr=1_7_7_240_150_9,Kerry Fawdray,Kerry Fawdray,"Strategy,RPG,Medieval,Violent,Gore,Sandbox,RTS,Real-Time,Singleplayer,Early Access",win,,"18 Oct, 2018",229₴,6,54%,437
COVID: The Outbreak,https://store.steampowered.com/app/1287000/COVID_The_Outbreak/?snr=1_7_7_240_150_9,Jujubee S.A.,Jujubee S.A.,"Strategy,Indie,Resource Management,Real-Time,Documentary,Education,Outbreak Sim,Management,Simulation,RTS,Grand Strategy,3D,Abstract,Minimalist,Top-Down,Political,Singleplayer,Dystopian,Politics,Survival Horror",win,"3D,Abstract,Minimalist,Top-Down","29 May, 2020",448₴,6,69%,81
Kibbi Keeper,https://store.steampowered.com/app/1702970/Kibbi_Keeper/?snr=1_7_7_240_150_9,SMU Guildhall,SMU Guildhall,"Casual,Creature Collector,Cute,Stylized,Exploration,Colorful,Indie,Family Friendly,Adventure,Singleplayer,Puzzle,Anime,First-Person,Atmospheric,RTS,Relaxing,Open World,Puzzle Platformer,Nature,Cats",win,"Cute,Stylized,Colorful,Anime,First-Person","4 Mar, 2022",Free,9,85%,160
No King No Kingdom VR,https://store.steampowered.com/app/946700/No_King_No_Kingdom_VR/?snr=1_7_7_240_150_9,Fullmetal Developer,Fullmetal Developer,"Action,Strategy,Indie,Simulation,VR,Real Time Tactics,Base Building,Adventure,Casual,RTS,Colony Sim,First-Person,War,Fantasy,Open World,Singleplayer,Local Co-Op,Dragons,Sandbox,Early Access",win,"VR,First-Person","16 Feb, 2020",169₴,6,66%,21
Finger Fortress,https://store.steampowered.com/app/1337810/Finger_Fortress/?snr=1_7_7_240_150_9,Immersion Game,Immersion Game,"Typing,Free to Play,PvP,RTS,eSports,Education,Indie,Strategy,Tactical,Singleplayer,Multiplayer,Early Access,2D","mac, win",2D,"28 Jan, 2021",Free To Play,6,67%,52
Divine Stone,https://store.steampowered.com/app/1464200/Divine_Stone/?snr=1_7_7_240_150_9,Crooked Road,Crooked Road,"Strategy,Puzzle,Experimental,Platformer,Stealth,RTS,Interactive Fiction,2D Platformer,Side Scroller,Puzzle Platformer,Spelling,Investigation,Real Time Tactics,Cartoony,Hand-drawn,Stylized,Atmospheric,Story Rich,Logic,Detective",win,"Cartoony,Hand-drawn,Stylized","18 Nov, 2020",210₴,6,62%,16
COH 2 - The Western Front Armies: US Forces,https://store.steampowered.com/app/287370/COH_2__The_Western_Front_Armies_US_Forces/?snr=1_7_7_240_150_9,"Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","Strategy,World War II,RTS,Multiplayer,Singleplayer,Action,War","linux, mac, win",,"23 Jun, 2014",209₴,6,65%,136
Distant Star: Revenant Fleet,https://store.steampowered.com/app/335830/Distant_Star_Revenant_Fleet/?snr=1_7_7_240_150_9,Blazing Griffin,Blazing Griffin,"Indie,Strategy,Action,Space,Sci-fi,Procedural Generation,Singleplayer,Roguelike,RTS,Tactical,2D,Atmospheric,Action Roguelike,Pirates,Roguelite,Replay Value,Top-Down,Great Soundtrack,Real Time Tactics,Real-Time","linux, mac, win","2D,Top-Down","7 Apr, 2015",169₴,6,63%,252
Age of Conquest IV,https://store.steampowered.com/app/314970/Age_of_Conquest_IV/?snr=1_7_7_240_150_9,Noble Master LLC,Noble Master LLC,"Free to Play,Strategy,Turn-Based Strategy,War,Indie,Multiplayer,Grand Strategy,Singleplayer,Board Game,2D,Historical,Turn-Based,Medieval,Survival,Co-op,Massively Multiplayer,Sandbox,RTS,Open World,PvP","linux, mac, win",2D,"5 Apr, 2016",Free to Play,9,81%,2489
